
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '76.59912', 'CMB': 'N', 'VNODE': '52', 'MSG': 'DATA', 'RNODE': '48', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.456', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.44', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:15:08 PM', 'LAT': '84.83946', 'ALT': '12.', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '82.54571', 'CMB': 'N', 'VNODE': '51', 'MSG': 'DATA', 'RNODE': '49', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.446', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.452', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:15:15 PM', 'LAT': '85.94003', 'ALT': '848', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '167.2636', 'CMB': 'N', 'VNODE': '67', 'MSG': 'DATA', 'RNODE': '33', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.452', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.46', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:16:30 PM', 'LAT': '78.21646', 'ALT': '983', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '83.05966', 'CMB': 'N', 'VNODE': '31', 'MSG': 'DATA', 'RNODE': '69', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.446', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.462', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:28:20 PM', 'LAT': '51.08976', 'ALT': '409', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '53.22777', 'CMB': 'N', 'VNODE': '33', 'MSG': 'DATA', 'RNODE': '67', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.45', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.458', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:43:13 PM', 'LAT': '76.33348', 'ALT': '503', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '21.98052', 'CMB': 'N', 'VNODE': '27', 'MSG': 'DATA', 'RNODE': '73', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.454', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.457', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:43:19 PM', 'LAT': '34.64004', 'ALT': '300', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '146.7776', 'CMB': 'N', 'VNODE': '68', 'MSG': 'DATA', 'RNODE': '32', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.463', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.451', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:46:26 PM', 'LAT': '88.65027', 'ALT': '814', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '36.75293', 'CMB': 'N', 'VNODE': '34', 'MSG': 'DATA', 'RNODE': '66', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.445', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.454', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:46:33 PM', 'LAT': '44.81226', 'ALT': '101', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '41.80565', 'CMB': 'N', 'VNODE': '77', 'MSG': 'DATA', 'RNODE': '23', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.448', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.464', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:46:46 PM', 'LAT': '37.35589', 'ALT': '723', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '84.08764', 'CMB': 'N', 'VNODE': '3', 'MSG': 'DATA', 'RNODE': '97', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.434', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.464', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:46:57 PM', 'LAT': '55.16025', 'ALT': '807', 'INDI': 'N', 'LCLR': 'N'}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': '1', 'CTRL': 'M', 'BATL': '00', 'LON': '151.3047', 'CMB': 'N', 'VNODE': '29', 'MSG': 'DATA', 'RNODE': '71', 'DATE': '2017-Mar-21', 'BCLR': '1', 'HUM': '00', 'BDIST': '1.456', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'N', 'FDIST': '1.454', 'LMO': 'N', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'TIME': '04:50:32 PM', 'LAT': '63.22369', 'ALT': '102', 'INDI': 'N', 'LCLR': 'N'}
