
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '68.89717', 'CMB': 'N', 'VNODE': '55', 'MSG': 'DATA', 'RNODE': '45', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:01:50 PM', 'LAT': '78.27002', 'ALT': '625', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '68.89717', 'CMB': 'N', 'VNODE': '55', 'MSG': 'DATA', 'RNODE': '45', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:01:50 PM', 'LAT': '78.27002', 'ALT': '625', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '68.89717', 'CMB': 'N', 'VNODE': '55', 'MSG': 'DATA', 'RNODE': '45', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:01:50 PM', 'LAT': '78.27002', 'ALT': '625', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '142.8733', 'CMB': 'N', 'VNODE': '3', 'MSG': 'DATA', 'RNODE': '97', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 40.919999999999874, 'LLED': 'G', 'SPD': '00', 'RMO': 'F', 'LACC': 40.919999999999874, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'F', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:02:50 PM', 'LAT': '85.03545', 'ALT': '189', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '50.63051', 'CMB': 'N', 'VNODE': '73', 'MSG': 'DATA', 'RNODE': '27', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': -60.71999999999977, 'LLED': 'G', 'SPD': '00', 'RMO': 'R', 'LACC': -60.71999999999977, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'R', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:01 PM', 'LAT': '59.94646', 'ALT': '722', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '97.84498', 'CMB': 'N', 'VNODE': '18', 'MSG': 'DATA', 'RNODE': '82', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:06 PM', 'LAT': '83.99068', 'ALT': '109', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '53.86771', 'CMB': 'N', 'VNODE': '90', 'MSG': 'DATA', 'RNODE': '10', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'LACC': 0, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'N', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:13 PM', 'LAT': '88.12840', 'ALT': '66.', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '83.97315', 'CMB': 'N', 'VNODE': '6', 'MSG': 'DATA', 'RNODE': '94', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 0.99, 'LLED': 'G', 'SPD': '00', 'RMO': 'F', 'LACC': 0.99, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'F', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:20 PM', 'LAT': '27.59438', 'ALT': '967', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '173.6986', 'CMB': 'N', 'VNODE': '87', 'MSG': 'DATA', 'RNODE': '13', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': 90.08999999999962, 'LLED': 'G', 'SPD': '00', 'RMO': 'F', 'LACC': 90.08999999999962, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'F', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:26 PM', 'LAT': '84.84234', 'ALT': '714', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '177.8143', 'CMB': 'N', 'VNODE': '5', 'MSG': 'DATA', 'RNODE': '95', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': -0.33, 'LLED': 'G', 'SPD': '00', 'RMO': 'R', 'LACC': -0.33, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'R', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:32 PM', 'LAT': '75.48200', 'ALT': '70.', 'INDI': 'N', 'ROLL': 1}
{'TMP': '00', 'CMO': 'N', 'BAT': 'E', 'FCLR': 'N', 'CTRL': 'M', 'BATL': '00', 'LON': '5.616286', 'CMB': 'N', 'VNODE': '66', 'MSG': 'DATA', 'RNODE': '34', 'DATE': '2017-Apr-26', 'BCLR': 'N', 'HUM': '00', 'BDIST': u' \u221e ', 'RCLR': 'N', 'RACC': -10.89, 'LLED': 'G', 'SPD': '00', 'RMO': 'R', 'LACC': -10.89, 'RLED': 'G', 'DOOR': 'C', 'FDIST': u' \u221e ', 'PITCH': 1, 'BEAR': 1, 'LMO': 'R', 'CACC': 0, 'FLED': 'G', 'BLED': 'Y', 'VOL': 'E', 'LCLR': 'N', 'TIME': '09:03:38 PM', 'LAT': '71.89456', 'ALT': '435', 'INDI': 'N', 'ROLL': 1}
