
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '47.47379', 'CMB': 'N', 'VNODE': '47', 'MSG': 'DATA', 'RNODE': '53', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 0, 'SPD': '00', 'RMO': 'N', 'RLED': 0, 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:23:52 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 0, 'BLED': 0, 'VOL': 'E', 'LMO': 'N', 'LAT': '87.90079', 'ALT': '158', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '170.5082', 'CMB': 'N', 'VNODE': '16', 'MSG': 'DATA', 'RNODE': '84', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 0, 'SPD': '00', 'RMO': 'N', 'RLED': 0, 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:23:59 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 0, 'BLED': 0, 'VOL': 'E', 'LMO': 'N', 'LAT': '79.54518', 'ALT': '833', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '9.856856', 'CMB': 'N', 'VNODE': '62', 'MSG': 'DATA', 'RNODE': '38', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 0, 'SPD': '00', 'RMO': 'N', 'RLED': 0, 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:24:05 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 0, 'BLED': 0, 'VOL': 'E', 'LMO': 'N', 'LAT': '70.16908', 'ALT': '909', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '55.10957', 'CMB': 'N', 'VNODE': '27', 'MSG': 'DATA', 'RNODE': '73', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 0, 'SPD': '00', 'RMO': 'N', 'RLED': 0, 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:24:12 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 0, 'BLED': 0, 'VOL': 'E', 'LMO': 'N', 'LAT': '83.10244', 'ALT': '612', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '113.3187', 'CMB': 'N', 'VNODE': '0', 'MSG': 'DATA', 'RNODE': '100', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 0, 'SPD': '00', 'RMO': 'N', 'RLED': 0, 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:24:21 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 0, 'BLED': 0, 'VOL': 'E', 'LMO': 'N', 'LAT': '44.37497', 'ALT': '995', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '0.058003', 'CMB': 'N', 'VNODE': '64', 'MSG': 'DATA', 'RNODE': '36', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 0, 'SPD': '00', 'RMO': 'N', 'RLED': 0, 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:24:25 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 0, 'BLED': 0, 'VOL': 'E', 'LMO': 'N', 'LAT': '1.261219', 'ALT': '514', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '15.50597', 'CMB': 'N', 'VNODE': '83', 'MSG': 'DATA', 'RNODE': '17', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 0, 'SPD': '00', 'RMO': 'N', 'RLED': 0, 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:24:33 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 0, 'BLED': 0, 'VOL': 'E', 'LMO': 'N', 'LAT': '70.86302', 'ALT': '440', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'A', 'BATL': '00', 'LON': '75.43717', 'CMB': 'N', 'VNODE': '1', 'MSG': 'DATA', 'RNODE': '99', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:53:29 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '71.16102', 'ALT': '484', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'A', 'BATL': '00', 'LON': '110.8158', 'CMB': 'N', 'VNODE': '96', 'MSG': 'DATA', 'RNODE': '4', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:53:34 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '89.04994', 'ALT': '241', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'A', 'BATL': '00', 'LON': '35.55733', 'CMB': 'N', 'VNODE': '44', 'MSG': 'DATA', 'RNODE': '56', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:53:45 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '61.86928', 'ALT': '178', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'A', 'BATL': '00', 'LON': '152.8044', 'CMB': 'N', 'VNODE': '61', 'MSG': 'DATA', 'RNODE': '39', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:53:57 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '86.49899', 'ALT': '880', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'A', 'BATL': '00', 'LON': '167.0011', 'CMB': 'N', 'VNODE': '35', 'MSG': 'DATA', 'RNODE': '65', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:54:01 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '86.04840', 'ALT': '143', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '2.679869', 'CMB': 'N', 'VNODE': '32', 'MSG': 'DATA', 'RNODE': '68', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:54:02 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '79.59529', 'ALT': '289', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '71.71405', 'CMB': 'N', 'VNODE': '30', 'MSG': 'DATA', 'RNODE': '70', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:54:07 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '81.61210', 'ALT': '832', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '44.90970', 'CMB': 'N', 'VNODE': '8', 'MSG': 'DATA', 'RNODE': '92', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:54:19 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '9.150681', 'ALT': '675', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'LACC': 0, 'CTRL': 'M', 'BATL': '00', 'LON': '148.3472', 'CMB': 'N', 'VNODE': '63', 'MSG': 'DATA', 'RNODE': '37', 'DATE': '2017-Feb-03', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'RACC': 0, 'LLED': 'G', 'SPD': '00', 'RMO': 'N', 'RLED': 'G', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '09:54:46 PM', 'BEAR': '00', 'CACC': 0, 'FLED': 'G', 'BLED': 'G', 'VOL': 'E', 'LMO': 'N', 'LAT': '74.11038', 'ALT': '165', 'INDI': 'N', 'LCLR': 'N'}
