
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '14.03258', 'CMB': 'N', 'VNODE': '47', 'MSG': 'DATA', 'RNODE': '53', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:33:27 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '49.10685', 'ALT': '221', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '149.0590', 'CMB': 'N', 'VNODE': '90', 'MSG': 'DATA', 'RNODE': '10', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:33:37 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '60.20602', 'ALT': '146', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '106.3884', 'CMB': 'N', 'VNODE': '96', 'MSG': 'DATA', 'RNODE': '4', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:33:46 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '10.11257', 'ALT': '834', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '67.54541', 'CMB': 'N', 'VNODE': '36', 'MSG': 'DATA', 'RNODE': '64', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:33:54 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '85.97068', 'ALT': '791', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '101.2420', 'CMB': 'N', 'VNODE': '22', 'MSG': 'DATA', 'RNODE': '78', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:34:16 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '35.71231', 'ALT': '134', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '4.959484', 'CMB': 'N', 'VNODE': '29', 'MSG': 'DATA', 'RNODE': '71', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:34:30 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '3.713186', 'ALT': '260', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '23.06234', 'CMB': 'N', 'VNODE': '18', 'MSG': 'DATA', 'RNODE': '82', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:34:37 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '56.24913', 'ALT': '19.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '174.7782', 'CMB': 'N', 'VNODE': '13', 'MSG': 'DATA', 'RNODE': '87', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:34:39 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '5.331927', 'ALT': '791', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '125.2678', 'CMB': 'N', 'VNODE': '53', 'MSG': 'DATA', 'RNODE': '47', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:34:50 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '65.57795', 'ALT': '884', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '101.9774', 'CMB': 'N', 'VNODE': '32', 'MSG': 'DATA', 'RNODE': '68', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:34:57 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '86.53028', 'ALT': '896', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '24.18310', 'CMB': 'N', 'VNODE': '28', 'MSG': 'DATA', 'RNODE': '72', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:35:18 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '68.17083', 'ALT': '19.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '101.9820', 'CMB': 'N', 'VNODE': '0', 'MSG': 'DATA', 'RNODE': '100', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:35:26 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '16.97917', 'ALT': '582', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '22.04379', 'CMB': 'N', 'VNODE': '24', 'MSG': 'DATA', 'RNODE': '76', 'DATE': '2017-Jan-28', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '07:35:36 PM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '68.31082', 'ALT': '442', 'INDI': 'N', 'LCLR': 'N'}
