
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '36.20265', 'CMB': 'N', 'VNODE': '45', 'MSG': 'DATA', 'RNODE': '55', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:38:07 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '35.33478', 'ALT': '917', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '68.23802', 'CMB': 'N', 'VNODE': '84', 'MSG': 'DATA', 'RNODE': '16', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:38:17 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '2.784835', 'ALT': '251', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '83.40777', 'CMB': 'N', 'VNODE': '40', 'MSG': 'DATA', 'RNODE': '60', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:40:31 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '40.74235', 'ALT': '76.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '29.04812', 'CMB': 'N', 'VNODE': '56', 'MSG': 'DATA', 'RNODE': '44', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:40:40 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '72.84893', 'ALT': '213', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '40.76369', 'CMB': 'N', 'VNODE': '24', 'MSG': 'DATA', 'RNODE': '76', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:40:48 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '52.10142', 'ALT': '63.', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '68.60873', 'CMB': 'N', 'VNODE': '34', 'MSG': 'DATA', 'RNODE': '66', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:41:02 AM', 'BEAR': '100', 'VOL': 'E', 'LMO': 'N', 'LAT': '1.004999', 'ALT': '900', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '80.28984', 'CMB': 'N', 'VNODE': '38', 'MSG': 'DATA', 'RNODE': '62', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:41:20 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '86.90928', 'ALT': '862', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '40.72053', 'CMB': 'N', 'VNODE': '22', 'MSG': 'DATA', 'RNODE': '78', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:41:36 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '32.76587', 'ALT': '726', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '124.4025', 'CMB': 'N', 'VNODE': '39', 'MSG': 'DATA', 'RNODE': '61', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:43:29 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '22.25469', 'ALT': '890', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '110.0791', 'CMB': 'N', 'VNODE': '37', 'MSG': 'DATA', 'RNODE': '63', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:43:38 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '49.20798', 'ALT': '212', 'INDI': 'N', 'LCLR': 'N'}
{'CMO': 'N', 'TMP': '00', 'BAT': 'E', 'CTRL': 'A', 'BATL': '00', 'LON': '101.1043', 'CMB': 'N', 'VNODE': '27', 'MSG': 'DATA', 'RNODE': '73', 'DATE': '2017-Jan-16', 'BCLR': 'N', 'HUM': '00', 'FCLR': '0', 'RCLR': 'N', 'SPD': '00', 'RMO': 'N', 'DOOR': 'N', 'FDIST': '80.0', 'TIME': '01:43:50 AM', 'BEAR': '00', 'VOL': 'E', 'LMO': 'N', 'LAT': '28.78757', 'ALT': '336', 'INDI': 'N', 'LCLR': 'N'}
